Produto,Valor,Quantidade,Num_Transações
iPhone 14,170895.91999999998,37.0,14
Smartphone Samsung Galaxy,149106.72,73.0,30
Tablet iPad,105616.38,36.0,10
Notebook Dell Inspiron,26484.38,8.0,3
"Monitor Samsung 24""",24309.81,22.0,8
Caixa de Som JBL,22576.75,35.0,12
Cadeira Gamer,19324.35,13.0,5
SSD 512GB,16066.33,30.0,12
Teclado Mecânico,15966.97,29.0,15
Webcam Full HD,14043.36,48.0,18
Fones Bluetooth,11887.42,40.0,17
HD Externo 1TB,11828.09,22.0,9
Mouse Logitech,8464.59,53.0,18
Roteador Wi-Fi,8292.43,21.0,9
Mesa de Escritório,7973.469999999999,7.0,3
Mousepad Gamer,6386.93,51.0,22
Impressora HP,5019.2,5.0,2
Carregador USB-C,4376.28,73.0,28
Cabo HDMI,3094.29,98.0,37
Pen Drive 64GB,2713.425,53.0,23
