ID,Data,Produto,Categoria,Quantidade,Preço
1,2023-11-24,Teclado Mecânico,Periféricos,1.0,333.93
2,2023-02-22,Cabo HDMI,Acessórios,5.0,16.11
3,2023-02-17,Smartphone Samsung Galaxy,Celulares,1.0,2210.24
4,2023-11-29,Caixa de Som JBL,Áudio,2.0,553.56
5,2023-01-04,Webcam Full HD,Periféricos,2.0,235.06
6,2023-03-21,Smartphone Samsung Galaxy,Celulares,1.0,1366.94
7,2023-02-19,Tablet iPad,Tablets,2.0,3614.26
8,2023-08-24,HD Externo 1TB,Armazenamento,5.0,548.82
9,2023-11-13,Pen Drive 64GB,,1.0,63.75
10,2023-01-24,Cabo HDMI,Acessórios,1.0,44.94
11,2023-02-21,Fones Bluetooth,Áudio,2.0,165.06
12,2023-07-01,Smartphone Samsung Galaxy,Celulares,3.0,2366.46
13,2023-11-08,Cabo HDMI,Acessórios,1.0,20.72
14,2023-07-14,Smartphone Samsung Galaxy,Celulares,4.0,2432.31
15,2023-01-29,Smartphone Samsung Galaxy,Celulares,2.0,1922.1
16,2023-02-03,Smartphone Samsung Galaxy,Celulares,5.0,1582.73
17,2023-09-13,Fones Bluetooth,Áudio,5.0,155.85
18,2023-10-15,HD Externo 1TB,Armazenamento,2.0,569.35
19,2023-07-24,Tablet iPad,Tablets,5.0,2181.82
20,2023-01-25,Pen Drive 64GB,Armazenamento,1.0,68.56
21,2023-08-05,Cabo HDMI,Acessórios,3.0,49.86
22,2023-09-28,Smartphone Samsung Galaxy,Celulares,1.0,2424.51
23,2023-02-28,Cabo HDMI,Acessórios,2.0,41.9
24,2023-06-24,Teclado Mecânico,Periféricos,2.0,201.95
25,2023-05-15,Mousepad Gamer,Periféricos,3.0,
26,2023-11-17,iPhone 14,Celulares,3.0,4397.82
27,2023-07-11,Webcam Full HD,Periféricos,3.0,379.62
28,2023-11-03,iPhone 14,Celulares,2.0,5757.44
29,2023-06-07,Smartphone Samsung Galaxy,Celulares,3.0,2904.51
30,2023-02-13,Caixa de Som JBL,Áudio,10.0,659.5
31,2023-03-07,Cabo HDMI,Acessórios,5.0,48.75
32,2023-10-04,Webcam Full HD,Periféricos,3.0,227.93
33,2023-12-10,Cabo HDMI,,3.0,30.8
34,2023-05-07,Smartphone Samsung Galaxy,Celulares,3.0,2197.06
35,2023-10-29,Smartphone Samsung Galaxy,Celulares,3.0,1305.97
36,2023-02-04,Pen Drive 64GB,Armazenamento,4.0,40.32
37,2023-09-06,Smartphone Samsung Galaxy,Celulares,3.0,2237.18
38,2023-05-05,Webcam Full HD,Periféricos,4.0,314.75
39,2023-07-01,Fones Bluetooth,Áudio,3.0,121.67
40,2023-12-01,Cadeira Gamer,Móveis,2.0,2037.96
41,2023-02-25,Smartphone Samsung Galaxy,Celulares,2.0,1452.33
42,2023-04-04,iPhone 14,Celulares,1.0,4886.26
43,2023-10-09,Mouse Logitech,Periféricos,3.0,222.12
44,2023-02-17,Mousepad Gamer,Periféricos,5.0,122.2
45,2023-07-25,Pen Drive 64GB,Armazenamento,1.0,79.19
46,2023-05-16,Mousepad Gamer,Periféricos,2.0,113.45
47,2023-10-12,Cabo HDMI,Acessórios,1.0,25.38
48,2023-01-30,SSD 512GB,Armazenamento,3.0,525.44
49,2023-01-26,SSD 512GB,Armazenamento,3.0,462.97
50,2023-09-18,Mouse Logitech,Periféricos,3.0,91.55
51,2023-05-01,Fones Bluetooth,Áudio,4.0,347.75
52,2023-08-03,Cabo HDMI,Acessórios,2.0,47.71
53,2023-04-15,Cabo HDMI,Acessórios,2.0,28.85
54,2023-12-10,Cabo HDMI,Acessórios,1.0,15.33
55,2023-11-15,Mesa de Escritório,Móveis,4.0,1207.06
56,2023-03-09,Mousepad Gamer,Periféricos,5.0,92.75
57,2023-08-13,Roteador Wi-Fi,Rede,,494.35
58,2023-12-01,Carregador USB-C,Acessórios,3.0,44.97
59,2023-12-06,Mouse Logitech,Periféricos,4.0,206.21
60,2023-03-21,Smartphone Samsung Galaxy,Celulares,3.0,1817.18
61,2023-12-18,Cabo HDMI,Acessórios,2.0,23.79
